ENSG00000238173.1	1	11232963	11233112	+	150	5
ENSG00000197273.3	1;1;1	42162691;42163403;42164638	42162970;42163610;42164724	-;-;-	575	1
ENSG00000116221.15	1;1;1;1;1;1;1;1;1;1;1	54184041;54200167;54205018;54205295;54207360;54209946;54212501;54216141;54218172;54220611;54225125	54184300;54200589;54205201;54205410;54207504;54210132;54212658;54216344;54218383;54220930;54225464	+;+;+;+;+;+;+;+;+;+;+	2549	5887
ENSG00000227207.2	1	72301472	72301829	+	358	15
ENSG00000237959.1	1	88577880	88578201	+	322	0
ENSG00000213075.7	1	161683695	161685252	-	1558	25
ENSG00000237049.1	1	168210616	168210969	+	354	17
ENSG00000225713.5	1	174090136	174090474	-	339	0
ENSG00000231333.2	1	200863808	200864152	+	345	1177
ENSG00000158715.5	1;1;1;1;1;1	205657851;205661861;205662308;205662833;205664485;205680394	205659671;205662126;205662668;205663618;205664886;205680502	-;-;-;-;-;-	3745	126888
ENSG00000228646.3	1	213428708	213429077	-	370	0
ENSG00000226013.1	1	216201635	216201826	-	192	0
ENSG00000237991.3	1	236981339	236981708	+	370	5332
ENSG00000223640.1	2	9081395	9081727	-	333	0
ENSG00000233747.1	2;2	24334512;24335090	24334765;24335152	+;+	317	928
ENSG00000243147.7	2;2;2;2;2;2;2;2;2	27771717;27771975;27772674;27774424;27779433;27782572;27894533;27929832;27987993	27771799;27772385;27772855;27774530;27779741;27782694;27894684;27929908;27988087	+;+;+;+;+;+;+;+;+	1539	2367
ENSG00000235369.1	2	47797826	47798091	-	266	2
ENSG00000224627.1	2	83594956	83595243	+	288	0
ENSG00000132313.14	2;2;2;2	86199355;86206106;86207183;86210480	86199533;86206295;86207327;86213794	+;+;+;+	3829	2365
ENSG00000185414.19	2;2;2;2;2;2;2	99181079;99186176;99186919;99188177;99194751;99195116;99195573	99181249;99186254;99187018;99188257;99195089;99195189;99199557	+;+;+;+;+;+;+	4829	3816
ENSG00000071082.10	2;2;2;2;2	101001715;101004158;101017859;101018998;101023625	101002808;101007267;101018306;101019728;101024032	+;+;+;+;+	5791	102294
ENSG00000235232.1	2	139668547	139669305	+	759	0
ENSG00000234272.1	2	152131555	152131845	+	291	0
ENSG00000232430.1	2	182788098	182788435	+	338	5
ENSG00000197756.9	2;2;2;2;2;2;2;2	216498189;216509453;216519066;216520195;216529025;216534017;216568372;216578921	216504086;216509495;216519390;216520822;216529587;216534032;216568519;216579210	+;+;+;+;+;+;+;+	7911	82352
ENSG00000231546.1	2	236407846	236409077	-	1232	25
ENSG00000144713.12	3;3;3	12834485;12839051;12840142	12836223;12839584;12841588	-;-;-	3720	140588
ENSG00000229468.1	3	20012452	20012606	+	155	9
ENSG00000229756.1	3	24430748	24431107	+	360	0
ENSG00000237676.1	3	32635222	32635554	-	333	838
ENSG00000234270.1	3	41955445	41955763	+	319	0
ENSG00000229759.1	3	48256350	48256938	-	589	167
ENSG00000240405.5	3;3;3;3;3	69999577;69999744;70012357;70013520;70013794	69999620;69999867;70012598;70013672;70015318	+;+;+;+;+	2088	171
ENSG00000244048.1	3;3	95153725;95171887	95153771;95172414	+;+	575	108
ENSG00000250562.1	3	98525061	98525274	-	214	1
ENSG00000251474.6	3;3;3;3;3;3;3;3;3	129382834;129385296;129389023;129391155;129393607;129396196;129397040;129399008;129399599	129384218;129385336;129390096;129393296;129394154;129396826;129397140;129399495;129399655	-;-;-;-;-;-;-;-;-	6467	460
ENSG00000114686.8	3;3;3;3;3;3;3;3;3;3;3;3	131462201;131468091;131469696;131471171;131487150;131488671;131489981;131497980;131500430;131501531;131501844;131502730	131462875;131468168;131469773;131471334;131487740;131488800;131490080;131498277;131500521;131501715;131501924;131503016	-;-;-;-;-;-;-;-;-;-;-;-	2759	8531
ENSG00000214289.2	3;3	134351852;134356375	134352113;134356561	-;-	449	3806
ENSG00000241993.1	3	148695994	148696204	-	211	0
ENSG00000241143.1	3	150150538	150150944	+	407	2
ENSG00000163923.9	3;3;3;3;3	187120948;187127999;187139213;187173616;187180665	187121328;187128062;187139523;187173675;187180908	-;-;-;-;-	1060	4831
ENSG00000182899.14	3;3;3;3;3;3;3	197949987;197950557;197950936;197951159;197952540;197953488;197955750	197950299;197950759;197950978;197951665;197952625;197954451;197956610	+;+;+;+;+;+;+	2977	51284
ENSG00000244422.3	4	54976159	54976371	-	213	1
ENSG00000163319.10	4;4;4;4;4;4	83455932;83456909;83459620;83460973;83467026;83469335	83456177;83459144;83459797;83462298;83467504;83469735	+;+;+;+;+;+	4866	1882
ENSG00000239525.1	4	83502699	83503034	+	336	0
ENSG00000258013.2	4	84544304	84544519	-	216	4
ENSG00000242936.1	4	95644952	95645293	-	342	0
ENSG00000234492.4	4;4;4;4;4;4;4;4;4	108538190;108541500;108542019;108556101;108590363;108598538;108602713;108608523;108620308	108540814;108541592;108542216;108557064;108590480;108598695;108602845;108608650;108620460	-;-;-;-;-;-;-;-;-	4570	69
ENSG00000109475.16	4;4;4;4;4	108620566;108622043;108625128;108625431;108630021	108622024;108623332;108625255;108625554;108630483	+;+;+;+;+	3464	67299
ENSG00000227283.1	4	163382179	163382516	+	338	0
ENSG00000171421.12	5;5;5;5	1798385;1799077;1799771;1801334	1798947;1799750;1799895;1801366	-;-;-;-	1395	2726
ENSG00000244361.1	5	10488820	10489142	+	323	21
ENSG00000240785.1	5	18049550	18049872	+	323	322
ENSG00000242654.1	5	19041009	19041386	+	378	0
ENSG00000145592.13	5;5;5;5	40825262;40833879;40834471;40835019	40832573;40834265;40834607;40835335	-;-;-;-	8153	103712
ENSG00000251597.1	5;5	54399439;54399964	54399644;54400033	+;+	276	1
ENSG00000213891.3	5	61390668	61391871	-	1204	4874
ENSG00000243758.1	5	117301104	117301442	-	339	0
ENSG00000113649.11	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	146447310;146455056;146457183;146458884;146462018;146463551;146468341;146469544;146470636;146471488;146478418;146479855;146480028;146481150;146483540;146492869;146498536;146499573;146503032;146503824;146504364;146505505;146507028;146507371;146509145;146510067;146510441	146447408;146455281;146457335;146459337;146462096;146463793;146468403;146469809;146470748;146471576;146478653;146479911;146480518;146482727;146483629;146493038;146498686;146499971;146503539;146504202;146504494;146505621;146507348;146507956;146509245;146510160;146511961	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8715	2553
ENSG00000113719.15	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	172834220;172888699;172897002;172897836;172905217;172906060;172909667;172914565;172920364;172921527;172922145;172924005;172926509;172926712;172931093;172932436;172950709	172834433;172888760;172897074;172898585;172905474;172906180;172909761;172918335;172920571;172921626;172922468;172924109;172926569;172927099;172931207;172938007;172952685	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	14194	64492
ENSG00000074276.10	5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5	176542511;176543541;176549342;176565306;176565672;176566946;176568678;176568960;176571213;176574083;176575084;176575280;176575506;176575724;176575952;176577399;176577637;176578034;176578365;176581343;176584190;176584410;176585954;176586651;176589031;176589330;176590078;176590253;176590425;176590563;176591210;176591404;176592723;176595532	176542769;176543717;176549414;176565404;176565743;176567114;176568817;176569010;176571302;176574172;176575209;176575426;176575581;176575839;176576185;176577554;176577798;176578095;176578608;176581582;176584259;176585015;176586025;176586842;176589182;176589616;176590146;176590330;176590485;176590687;176591323;176591690;176592780;176595974	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5397	36
ENSG00000220868.2	6	13949095	13949666	+	572	42
ENSG00000204568.11	6;6;6;6;6	30617709;30619493;30622832;30624883;30625502	30617943;30620124;30622898;30624942;30626397	+;+;+;+;+	1890	4130
ENSG00000227939.1	6	31280317	31281519	+	1203	47865
ENSG00000224796.1	6	33079451	33079860	+	410	3
ENSG00000231500.6	6;6;6	33272010;33272132;33275321	33272122;33272726;33276510	+;+;+	1898	152116
